windfarm_name,latitude,longitude,windfarm_power
 Pottenbrunn II,48.23619,15.72692,14195.0
 Pottenbrunn III,48.24669,15.72531,46590.0
 Pottendorf-Tattendorf,47.93494,16.36558,65883.33
 Potzneusiedl I,48.03078,16.90717,44724.0
 Potzneusiedl II,48.03078,16.90717,43320.0
 Potzneusiedl III,48.03078,16.90717,43320.0
 Potzneusiedl IV,48.03078,16.90717,104750.0
 Potzneusiedl V,48.03078,16.90717,151290.0
 Poysdorf-Wilfersdorf I,48.61078,16.62561,43566.67
 Poysdorf-Wilfersdorf II,48.60661,16.62689,43566.0
 Poysdorf-Wilfersdorf III,48.63694,16.60967,65925.0
 Prellenkirchen II,48.06203,16.92892,37562.0
 Prellenkirchen III,48.06203,16.92892,39724.44
 Prellenkirchen IV,48.06469,17.00281,69720.0
 Prottes-Ollersdorf,48.40706,16.75589,43695.83
 Präbichl,47.52389,14.94883,14390.0
 Purgstall-Hochrieß,48.09456,15.15125,5670.0
 Pömmern,48.11294,15.58342,6830.0
 Rannersdorf,48.6245,16.68383,43282.5
 Reittern,48.51922,15.44958,11370.0
 Retz,48.75172,16.00942,5330.0
 Salzstiegl I,47.05603,14.86344,35520.0
 Salzstiegl II,47.05603,14.86344,36000.0
 Scharndorf,48.08892,16.83644,42410.0
 Scharndorf II,48.09253,16.76806,67580.0
 Scharndorf West,48.10625,16.74294,62225.0
 Scharndorf-Erweiterung,48.09122,16.76556,31620.0
 Schauerberg,48.30472,15.65675,40150.0
 Schenkenfelden,48.50992,14.34997,14080.0
 Schernham,48.17908,13.60858,42580.0
 Schrick I-III,48.51467,16.59903,9026.67
 Schrick IV,48.51467,16.59903,26480.0
 Schrick V,48.51467,16.59903,41540.0
 Schrick VI,48.52772,16.64928,49871.43
 Sigleß,47.76364,16.40994,44590.0
 Simonsfeld,48.49869,16.34697,10820.0
 Spannberg,48.45106,16.70525,69473.64
 Spörbichl,48.55192,14.59989,15535.0
 St. Pölten I,48.22233,15.62317,2340.0
 St. Pölten II,48.22233,15.62303,5800.0
 Stattersdorf,48.18975,15.65778,12092.5
 Steiglberg,48.09581,13.35611,44620.0
 Steindlberg,48.32214,13.66614,15805.0
 Steinriegel,47.53419,15.71406,43592.86
 Sternwald I,48.57939,14.23086,47570.0
 Sternwald II,48.57939,14.23086,39441.67
 Sternwald III,48.58442,14.22011,69440.0
 Stockerau,48.39967,16.191,13627.5
 Tattendorf,47.94492,16.35531,46587.5
 Tauernwind 14,47.27392,14.40008,19980.0
 Trautmannsdorf Nord III,48.04233,16.70408,68086.67
 Trauttmannsdorf,48.04931,16.69156,43381.25
 Unterlaa,48.12397,16.41364,22860.0
 Velm-Götzendorf,48.50069,16.79453,17549.0
 Vitis,48.75694,15.19656,2540.0
 Vösendorf I,48.10958,16.32467,9280.0
 Vösendorf II,48.11133,16.32525,10570.0
 Wagram-Donau,48.15997,16.73547,2680.0
 Weiden,47.94836,16.90236,40010.77
 Wilhelmsburg (AT),48.08192,15.58556,5870.0
 Wolkersdorf I,48.37381,16.50525,11160.0
 Wolkersdorf II,48.37381,16.50525,13590.0
 Zistersdorf Ost,48.50617,16.78006,60841.11
 Zistersdorf-Maustrenk,48.54808,16.708,43540.0
 Zurndorf,47.94306,16.96192,45500.0
 Zurndorf III,47.96997,16.98,13083.33
 Zurndorf IV,47.96667,16.98997,34350.0
 Zurndorf Mitteläcker,47.96831,16.98161,34240.0
 Zurndorf Mitteläcker EPZ,47.97094,16.985,49260.0
 Zurndorf V,47.96947,16.984,43480.0
 Drushnaja,54.79333,26.77692,3100.0
 Grabniki,53.60886,25.77742,59100.0
 Liozno,55.15614,30.73208,84000.0
 Amel,50.347,6.22267,47872.0
 Antwerpen Haven,51.31119,4.31442,31987.78
 Antwerpen Haven (dismantled),51.31119,4.31442,31987.78
 Arendonk,51.29747,5.10083,186030.0
 Arlon-Messancy,49.63856,5.86622,32133.33
 Baileux,50.04669,4.35503,36546.0
 Bekaert,50.82556,3.33186,43056.67
 Beloeil,50.55511,3.63803,35126.67
 Belwind Alstom Haliade Demonstration,51.68997,2.83997,134840.0
 Belwind I,51.67,2.79997,63711.09
 Belwind II,51.65997,2.81997,75563.0
 Beringen,51.06928,5.19517,47528.57
 Berlare,51.07083,3.94658,46190.0
 Berloz,50.69739,5.18736,45970.0
 Berloz II,50.69244,5.18883,52695.71
 Beveren-Waas,51.19272,4.30672,44380.0
 Bièvre,49.95431,5.01944,45928.57
 Bobbejaanland,51.19931,4.90494,12740.0
 Bredekop-Zele,51.07269,3.97686,32033.33
 Bruges,51.25519,3.20556,35387.14
 Bruges - Pathoekweg,51.26308,3.21308,7895.0
 Bruges - Pathoekweg (dismantled),51.26308,3.21308,7895.0
 Bullange - Butgenbach,50.44528,6.24153,47967.5
 Bullange - Butgenbach II,50.39397,6.31989,38928.33
 Celanese,50.88003,5.65536,27437.5
 Centrale Werkplaatsen,50.91311,5.33347,42835.0
 Cerfontaine,50.17497,4.49403,25721.82
 Chevetogne,50.22144,5.14642,14780.0
 Ciney-Pessoux,50.29694,5.1825,54825.0
 Couvin,50.07097,4.48211,37420.0
 Dinant-Ciney 1,50.28289,5.05506,71813.33
 Dinant-Ciney 2,50.28161,5.05772,74920.0
 Dour-Quiévrain,50.40333,3.72139,39631.88
 Eeklo,51.17972,3.53297,24808.57
 Eeklo (dismantled),51.17972,3.53297,24808.57
 Estinnes,50.41378,4.07436,73230.0
 Feluy,50.55844,4.22947,43421.43
 Fernelmont,50.53325,4.96231,45833.33
 Floreffe,50.42283,4.71828,50300.0
 Floreffe I,50.42214,4.71125,38168.57
 Fosses-la-Ville,50.37008,4.64881,43621.33
 Frasnes-Lez-Anvaing,50.65617,3.64528,40615.0
 Froidchapelle,50.21583,4.32936,47764.0
 Genk,50.96219,5.50311,62990.0
 Gent Zeehaven,51.18539,3.81794,50077.89
 Gent-Kluizendok,51.1555,3.76472,42420.0
 Ghislenghien,50.65286,3.86497,37960.0
 Gistel,51.16708,2.96733,40598.33
 Goeiende,51.07006,4.04033,50310.0
 Gouvy,50.19953,5.93519,59334.0
 Halen-Diest (Limburg),50.94681,5.04706,36472.0
 Halen-Diest (Vlaams-Brabant),50.95408,5.05708,176240.0
 Halle-Colruyt (dismantled),50.73,4.20767,44520.0
 Halle-Colruyt,50.73,4.20767,44758.33
 Ham Albertkanaal,51.09628,5.10878,43465.0
 Hamme,51.07397,4.13514,44840.0
 Hasselt-Godsheide (dismantled),50.93942,5.36547,55930.0
 Hasselt-Godsheide,50.93942,5.36547,55930.0
 Hauts-Sarts,50.69467,5.60725,66460.0
 Houyet,50.16022,4.92897,13176.67
 Ieper,50.87978,2.879,31553.33
 Izegem,50.93533,3.17608,30420.0
 Kallo (dismantled),51.26972,4.25767,53430.0
 Kallo,51.26972,4.25767,53430.0
 Kalmthout,51.44658,4.50267,141570.0
 Kortrijk,50.82064,3.30817,24990.0
 Kruibeke,51.17856,4.27856,50522.5
 Laakdal-Meerhout,51.09664,5.08844,28301.67
 Leuze-en-Hainaut,50.59939,3.63886,39815.0
 Lochristi,51.06689,3.88939,44646.67
 Lokeren,51.07594,3.96417,44145.0
 Lombardsijde - Middlekerke,51.14008,2.76308,15506.67
 Lommel,51.21414,5.27058,46913.0
 Maaseik,51.09889,5.68431,40493.33
 Maldegem,51.16811,3.43942,140170.0
 Marbais,50.53736,4.51486,41825.45
 Melle,50.98083,3.81739,31010.0
 Menen,50.7875,3.10411,35265.0
 Mesnil-St-Blaise,50.17861,4.87461,41187.5
 Moulins Saint-Roch,50.53225,3.61736,31270.0
 Nieuwkapelle,50.99422,2.80608,13445.0
 Norther,51.52806,3.01583,180375.68
 Northwester 2,51.68597,2.757,204601.3
 Northwind,51.61897,2.90097,70416.67
 Oekene,50.89542,3.17775,31630.0
 Perwez,50.60631,4.79167,40853.75
 Perwez (dismantled),50.60631,4.79167,40853.75
 Plateau de Bourcy,50.05358,5.78094,58241.43
 Pont-à-Celles,50.54444,4.34586,41891.25
 Poperinge,50.85236,2.75964,37725.0
 Port of Antwerpen,51.27875,4.26942,48737.14
 Port of Antwerpen (dismantled),51.27875,4.26942,48737.14
 Puurs,51.0675,4.29844,77020.0
 Quévy,50.38044,3.95531,22931.11
 Rentel,51.59,2.93997,168414.52
 Rijksweg,51.06728,4.31503,45500.0
 Roeselaere,50.94125,3.16919,44230.0
 Saint-Vith,50.29122,6.08583,41730.0
 Sainte Ode (dismantled),50.02731,5.59253,166200.0
 Sainte Ode,50.02731,5.59253,166200.0
 Schelle,51.12536,4.32056,34276.67
 Seamade (Mermaid),51.63,2.85997,191563.93
 Seamade (SeaStar),51.71997,2.74,189754.67
 Seneffe ZI,50.51278,4.26294,44500.0
 Sint Gillis-Waas I,51.23458,4.17153,39157.5
 Sint Gillis-Waas II,51.23044,4.12758,47246.67
 Sombreffe,50.54325,4.63214,29566.67
 Spontin,50.29119,4.98125,45836.67
 Spy,50.49792,4.70808,78316.67
 Strépy-Bracquegnies,50.49253,4.12067,72000.0
 Tarcienne,50.30281,4.50447,24053.33
 Termonde (Dendermonde),51.02186,4.14406,36565.0
 Tessenderlo-Schoonhees,51.05481,5.11261,58353.33
 TGV-TAB,50.56872,3.40506,39161.43
 Theux,50.44297,5.80389,7980.0
 Thorntonbank,51.53997,2.93997,105925.76
 Tinlot,50.46833,5.36994,70295.0
 Vaux-sur-Sûre,49.98897,5.66583,46708.33
 Verlaine,50.59803,5.28647,47864.0
 Villers le Bouillet,50.57997,5.24,14144.74
 Wachtebeke,51.17208,3.83253,52175.0
 Waimes,50.40469,6.09708,53884.0
 Warisoulx,50.53597,4.87775,31708.0
 Wuustwezel-Brecht,51.34867,4.62033,33616.67
 Zedelgem,51.13542,3.16442,37080.0
 Zeebrugge,51.31611,3.18583,44260.0
 Zeebrugge - Park (dismantled),51.35997,3.20997,91010.0
 Zeebrugge - Park,51.35997,3.20997,91010.0
 Ajtos,42.65997,26.64,1326.67
 Ajtos E,42.65997,26.64,2090.0
 Ajtos N,42.65997,26.64,907.5
 Ajtos SW,42.65997,26.64,1455.0
 Bacchik NE,43.42,28.14,2752.5
 Dobric Sth,43.35997,27.83997,3483.33
 Elhovo Sth,41.92997,26.51,282.5
 Gulyantsi NE,43.67,24.92997,6390.0
 Gurkovo,42.65728,25.79581,17610.0
 Hrabrovo,43.13644,27.38483,26877.14
 Hrabrovo II,43.13644,27.38483,19150.0
 Kardam,43.74192,28.13472,20706.67
 Kavarna,43.42,28.25,113390.0
 Kavarna E,43.42,28.35997,6882.86
 Kavarna N,43.46997,28.26,8606.67
 Kavarna NE,43.57,28.37997,6675.38
 Kavarna NW,43.44156,28.44303,19061.73
 Kavarna W,43.39997,28.19,7183.53
 Krupen,43.55936,28.24489,27377.5
 Mogilishte,43.46219,28.32614,14290.0
 Mogilishte-Zapad,43.46219,28.32614,88515.0
 Omurtag,43.10997,26.42,10000.0
 Shabla N,43.53847,28.51197,7820.0
 Shabla NW,43.67997,28.39,8745.0
 Shabla S,43.53147,28.51278,6336.67
 Shabla SE,43.53,28.58997,3500.0
 Shabla SW,43.52,28.53997,4824.55
 Shabla W,43.61997,28.33997,3713.33
 Sliven,42.67228,26.32439,0.0
 Sliven E,42.67228,26.32439,0.0
 Sliven N,42.67228,26.32439,0.0
 Somovit,43.69019,24.79686,31910.0
 Straldza Sth,42.54997,26.01997,1276.67
 Suvorovo,43.37497,27.58964,18286.0
 Targoviste,43.24933,26.57272,5980.0
 Vetrocom,42.73897,25.43253,28770.34
 Vranino,43.52661,28.30719,22082.22
 Yambol,42.49,26.51997,420.0
 Danilo,43.738,16.08822,1306.32
 Ogorje,43.71883,16.52656,1735.0
 Orlice,43.63828,16.02467,6507.27
 Ponikve,42.86825,17.60083,18274.44
 Raven 1,44.43972,15.08514,3820.0
 Rudine,42.82461,17.79631,31310.83
 Senj,45.03778,15.02275,2749.74
 Sibenik-Knin,43.92814,16.10375,21815.0
 ST1-1-ST1-2,43.62394,16.87975,41559.29
 Trtar-Krtolin,43.75189,15.96889,303.57
 Zadar VI,44.30003,15.84956,87223.64
 Kambi,34.89586,33.12633,6718.33
 Orites,34.73944,32.65736,5476.83
 Andelka,50.98867,14.98403,44840.0
 Anenska Studenka,49.84331,16.54769,15953.33
 Bantice,48.86808,16.16578,29240.0
 Bozi Dar - Neklid I,50.40394,12.94317,6670.0
 Bozi Dar - Neklid II,50.40389,12.94606,7950.0
 Bozi Dar III,50.40272,12.94658,19150.0
 Brezany,48.88389,16.37319,16418.0
 Brodek u Konice,49.54394,16.82342,6385.0
 Cerveny kopec - Rejchartice,49.79689,17.51736,46296.67
 Cizebna-Novy,50.22044,12.46328,7115.0
 Dozice,49.52664,13.71244,18940.0
 Drahany,49.44158,16.90403,40460.0
 Habartice u Krupky,50.71772,13.86642,30455.0
 Hora Svatého sebestiana,50.50189,13.24522,31393.33
 Horni Castkov I,50.18478,12.51122,47905.0
 Horni Castkov II,50.18478,12.51122,47480.0
 Horni Lodenice - Lipina,49.75736,17.36211,38244.44
 Horni Paseky,50.22792,12.26822,47746.0
 Horni Rasnice,50.96097,15.21272,36290.0
 Hostyn,49.37992,17.70203,4430.0
 Hranice u Ase,50.31708,12.16781,47800.0
 Hranicne Petrovice,49.72997,17.39997,15940.0
 Janov u Litomysle,49.832,16.37008,28735.0
 Jindnchovice pod Smrkem,50.9655,15.24239,12780.0
 Jindrichovice - Stara,50.26042,12.62547,53900.0
 Kamen (CZ),49.72628,15.50797,44420.0
 Kliny,50.63567,13.54586,45255.0
 Koprivna,50.04636,16.94675,39795.0
 Krasny les,50.93544,15.11147,32450.0
 Lipna,49.66767,17.70414,38730.0
 Loucna,50.42489,12.99486,13070.0
 Lysy Vrch u Albrechtic,50.86664,15.00253,9890.0
 Maletin,49.80728,16.78822,40620.0
 Mladonov,49.91836,17.08761,7820.0
 Mravenecnik,50.08564,17.14464,6046.67
 Nova Ves v Horach I,50.59761,13.49314,23270.0
 Nova Ves v Horach II,50.59761,13.49314,39480.0
 Oldrisov,50.00456,17.96611,38780.0
 Ostruzna,50.18117,17.04619,9483.33
 Ostry Kamen,49.74461,16.38578,20403.33
 Pavlov,49.25233,15.54906,32120.0
 Pchery,50.19747,14.13236,60485.0
 Petrovice,50.77733,13.98731,44765.0
 Pnisecnice,50.44753,13.17214,42263.33
 Podmileska Vysina,50.44564,13.15061,52500.0
 Pohledy u Svitav,49.69211,16.54667,5253.33
 Potstat,49.65261,17.68122,2922.5
 Protivanov,49.48289,16.85094,15496.67
 Rejchartice,49.78831,17.51958,38600.0
 Rozstani,49.38775,16.852,23840.0
 Tri panu,50.68147,13.69539,39496.67
 Trojmezi,50.31611,12.15269,21416.67
 Tulesice,49.04622,16.19,40970.0
 Velka Kras,50.36206,17.11306,4360.0
 Veseli u Oder,49.64642,17.79228,40815.0
 Veznice,49.40683,15.75944,41530.0
 Vrbice,50.15544,13.21978,53475.0
 Zipotin,49.77489,16.77275,23890.0
 Aalborg,57.04725,9.92269,13820.0
 Abild,54.98106,8.86133,14130.0
 Abol,55.23272,9.11453,0.0
 Abterp,55.07739,8.76292,15790.0
 Adbol,56.77372,8.35264,5010.0
 Aeble,55.26644,10.68389,16160.0
 Agernæs,55.59042,10.34183,9400.0
 Agerskov,55.13028,9.12953,14430.0
 Ajstrup,57.18997,10.00997,11156.36
 Ajstrup (dismantled),57.18997,10.00997,11156.36
 Alboge,56.36203,10.70483,2135.0
 Allerslev,55.08161,12.03572,2400.0
 Allerup (Bronderslev),57.22992,10.18236,2510.0
 Allerup (Odense),55.33369,10.47492,12395.0
 Alsbo,55.41222,9.99919,17060.0
 Alstrup (Guldborgsund),54.89119,11.76328,9665.0
 Alstrup (Jammerbugt),57.26769,9.75886,13601.67
 Ammerup,55.35217,12.25336,11755.0
 Amtrup,56.10714,8.89914,16520.0
 Amtrup (dismantled),56.10714,8.89914,16520.0
 Anderup,55.35478,9.39564,15660.0
 Andrup (DK),56.63514,8.84269,14085.0
 Anholt,56.6,11.21,73854.86
 Arby,55.64658,11.13419,63773.33
 Arlose,55.26842,11.54183,10726.67
 Arninge,54.79075,11.17264,6473.33
 Arrild,55.14908,8.96175,14530.0
 Arslev,55.45647,11.35872,4286.67
 Arup (DK),57.34172,9.97328,4050.0
 Asa Melholt,57.14819,10.39786,3560.0
 Asa Melholt (dismantled),57.14819,10.39786,3560.0
 Asdal Hgd - Asdal,57.55836,10.05761,8320.0
 Asdal Hgd. - Asdal,57.55569,10.02844,12940.0
 Askildrup,56.39197,10.05147,17083.33
 Asko,54.75881,11.28575,12455.0
 Assels,56.69728,8.675,15370.0
 Assendlose,55.56444,11.99886,14970.0
 Assens Markjord,55.2705,9.90089,30180.0
 Asted (Skive) (dismantled),56.76986,8.98097,258440.0
 Asted (Skive),56.76986,8.98097,258440.0
 Astrup (Favrskov),56.32081,10.14578,9940.0
 Astrup (Hedensted),55.76942,9.97197,16530.0
 Astrup (Vejen),55.56856,8.82231,15748.0
 Attrup Torslev,57.04644,9.44461,2770.0
 Aulby,55.50233,9.82167,15645.0
 Aulum,56.26558,8.78711,21713.33
 Avedore (dismantled),55.6255,12.45719,13896.67
 Avedore,55.6255,12.45719,13896.67
 Avedøre Holme,55.6,12.46,76786.67
 Avernako,55.02247,10.26458,5350.0
 Avnede,54.82936,11.21208,21785.0
 Bagenkop,54.74994,10.68283,14000.0
 Bajlum,56.69189,8.94375,68070.0
 Bale,56.3155,10.37733,16766.0
 Balle,55.71364,9.35128,16680.0
 Balling,56.61119,8.87953,12745.0
 Balslev,55.42511,9.89594,14190.0
 Baring,55.49108,9.90889,6280.0
 Barlose,55.33036,9.97092,16990.0
 Barslev,56.6485,8.50194,6043.33
 Bedsted,56.84014,8.32236,9610.0
 Bedsted (dismantled),56.84014,8.32236,9610.0
 Beersted,56.90053,8.55961,10610.0
 Bejstrup,57.02422,9.33928,8130.0
 Bendstrup,56.27339,10.24969,13980.0
 Biersted,57.15575,9.82228,4790.0
 Bildso,55.46253,11.24703,7566.67
 Billesbolle,55.43511,10.02572,3540.0
 Biltoft (dismantled),55.60997,8.64,59410.0
 Biltoft,55.60997,8.64,59410.0
 Binderup,56.98842,9.69689,12910.0
 Bindslev,57.51953,10.16756,9288.33
 Birkelev,55.21289,8.806,16880.0
 Birkelev (dismantled),55.21289,8.806,16880.0
 Birkendegaard,55.66694,11.19478,20390.0
 Birkild,56.43675,8.48067,15360.0
 Bissinge,54.96178,12.28031,12940.0
 Bjergby (Holbaek),55.6925,11.49822,40770.0
 Bjergby (Lolland),54.88186,11.13833,12570.0
 Bjergby (Slagelse),55.37042,11.33036,7360.0
 Bjerlev,55.81503,9.44467,15076.67
 Bjerndrup (Kolding),55.3205,9.36278,17286.0
 Bjernæs,54.65789,11.46378,11710.0
 Bjerreby (dismantled),54.96942,10.60583,21570.0
 Bjerreby,54.96942,10.60583,21570.0
 Bjerremose,55.735,8.54119,16555.0
 Bjornsholm,56.85603,9.24706,14780.0
 Bjornstrup,56.87247,9.46372,3000.0
 Blegind,56.06997,10.08169,15616.67
 Blenstrup,56.59592,10.1065,14385.0
 Blidstrup,56.71089,8.70844,21216.0
 Blære,56.86681,9.51217,14786.67
 Bodilsker,55.04031,15.04522,10721.67
 Boeslum,56.20203,10.71114,7660.0
 Boeslum (dismantled),56.20203,10.71114,7660.0
 Bogo,54.92169,12.04378,4780.0
 Bogo (dismantled),54.92169,12.04378,4780.0
 Bogvad,54.98675,9.01622,13971.67
 Bonderby,54.94686,8.77867,11494.0
 Bonnerup,56.53586,10.71339,11365.71
 Borbjerg,56.38436,8.76175,17463.33
 Bording,56.1435,9.28008,9000.0
 Borg,55.04147,8.79914,10336.67
